name,nuclear_id,id,nuclear_area,nuclear_avg,nuclear_stdev,number_nucleoli,nucleolar_area,nucleolar_avg,nucleolar_stdev,third_nucavg,third_nucstdev,third_nuclavg,third_nuclstdev,int_nucleolar,int_nucleoplasm,nucleolar_enrich,third_intnucl,third_intnucp,third_nuclenrich,normality_score
003003-1-001001001.tif,1.0,0.5,2410.0,1522.4232677001646,1455.7591194980444,2.0,80.5,5697.907341686742,1191.592677785794,1296.417575080194,2285.92474539327,7756.871166229388,1767.6028402364027,917363.0820115654,2751676.993145831,0.3333832729265211,1248856.2577629315,1875510.0981803357,0.6658755177989185,1.9973273162558458
003003-1-001001001.tif,2.0,4.0,3006.0,1556.9821590842548,1696.8273225450423,5.0,30.0,7315.4388523098605,1439.8149638706006,1403.7737214787717,2337.8354445346818,8648.766108715039,1581.8977299597886,1097315.8278464791,3582972.5423607905,0.3062585087865248,1297314.9163072559,2922428.890457932,0.44391667511334115,1.4494835649538476
003003-1-001001001.tif,3.0,8.0,2534.0,1465.7585667839019,1284.6151667069269,3.0,34.0,5889.262202226931,893.7057188397603,1074.0745206479187,1620.4560954317947,6531.37634344471,1060.2484979962528,600704.744627147,3113527.4636032605,0.1929338191646963,666200.3870313605,2055504.4482904654,0.32410554381695944,1.6798793763590485
003003-1-001001001.tif,4.0,11.5,2084.0,1966.8676475071895,1477.5338333173904,4.0,57.0,5146.195511724052,850.7484433894103,2083.0689629054523,2916.6977298755046,8029.232958792441,1495.104706388568,1173332.576673084,2925619.600731899,0.4010543873781652,1830665.1146046766,2510450.604090286,0.7292177394854802,1.8182514951466688
003003-1-001001001.tif,5.0,16.0,2259.0,2145.047947087234,1920.5342228706002,5.0,40.8,6872.403584280537,1295.6507139601404,1991.6535497759699,3279.89396296508,10059.272796967725,2179.338040560334,1401970.3311932294,3443692.9812768325,0.4071124629331547,2052091.6505814157,2447053.7183625,0.838596895189787,2.0598654463876716
003003-1-001001001.tif,6.0,19.5,2327.0,1274.5204843780195,1428.6865183713296,2.0,70.0,5993.86012863492,1416.160649959715,1030.8263731998597,1600.3482685259041,6179.286179165296,1282.4659484512142,839140.4180088888,2126668.7491387622,0.39457974748005104,865100.0650831414,1533632.9053529324,0.5640854875137524,1.429585504872551
003003-1-001001001.tif,7.0,22.5,3026.0,2000.7887424050675,1734.7476170869593,4.0,65.0,6327.52507636858,948.9642805824956,2272.657294020006,3457.8814332670963,11136.20440161709,1654.1450962881572,1645156.5198558308,4409230.214661904,0.373116494209178,2895413.144420443,3981647.827284095,0.7271896636813863,1.9489614502909283
003003-1-001001001.tif,8.0,25.5,1772.0,1963.9513857307356,1649.9315892680963,2.0,117.5,5217.751422074389,1101.1168219143237,2321.2930896977623,3314.862889480286,9319.40330431098,2137.3463792833963,1226171.5841874813,2253950.271327382,0.5440100430722334,2190059.77651308,1923271.5784313548,1.138715822078191,2.0931889706436775
003003-1-001001001.tif,9.0,28.0,2261.0,1810.972073816861,1598.2586882747712,3.0,85.0,5781.275370526188,1389.355459245228,1926.6272743048046,3108.3835875517348,9966.106398917082,2279.563574888567,1474225.2194841781,2620382.6394157447,0.5625992163544785,2541357.1317238556,1814747.1354793077,1.4003918683980383,2.489146496634452
003003-1-001001001.tif,10.0,33.25,2230.0,1626.7033525708011,1827.3577991015966,4.0,35.25,7854.010944893449,1468.3250603488395,1772.1647010090655,3140.112952539552,11896.644922821146,1886.6629691749417,1107415.5432299762,2520132.9330029106,0.43942743207217044,1677426.9341177815,2274500.3491324345,0.7374924935745139,1.6783032640834084
003003-1-001001001.tif,11.0,32.666666666666664,1773.0,2053.9355876372783,1845.5033662050394,3.0,27.333333333333332,7913.721267760015,1312.6162948256065,2070.9600986078112,3255.1897872750797,12214.56661728239,1486.890229200283,648925.1439563212,2992702.652924573,0.21683582340603366,1001594.4626171559,2670217.7922144933,0.37509841539423755,1.7298729033894502
003003-1-001001001.tif,12.0,38.5,1759.0,1772.4196588940745,1626.9981660539431,4.0,54.5,5061.258520578327,861.365451445797,2139.9923886906404,3099.3568154170352,8654.15684373308,1927.7109107178906,1103354.3574860753,2014331.822508602,0.5477520362618228,1886606.1919338116,1877640.419773025,1.0047750208540305,1.8343610873839873
003003-1-001001001.tif,13.0,42.0,1841.0,1917.3929398432786,1758.812532734374,3.0,45.333333333333336,6981.542746762613,1406.8255949313213,1964.4604115728714,3254.266438222929,11531.165090822617,2332.309800129684,949489.8135597155,2580430.5886917603,0.367957897306237,1568238.452351876,2048333.1653537801,0.7656168824865051,2.080718712905656
003003-1-001001001.tif,14.0,46.5,2400.0,1850.3985953152649,1641.6409052620513,6.0,26.166666666666668,6388.62118452982,919.7078887132631,1759.6136734047552,2509.646488545976,8888.676775358106,1408.9842246194346,1003013.5259711818,3437943.102785454,0.29174814590693215,1395522.2537312226,2827550.5624401895,0.49354457963322157,1.691680261065524
003003-1-001001001.tif,15.0,51.333333333333336,2272.0,1911.2108987956028,2125.599253818406,3.0,50.666666666666664,8155.105367310902,1378.61478102345,1802.5849784622935,3076.707051368654,11217.294184926779,1977.0075797375446,1239576.0158312572,3102695.1462323526,0.39951589099447693,1705028.7161088702,2390444.3549574604,0.7132685237256704,1.7853320476194299
003003-1-001001001.tif,16.0,53.666666666666664,3008.0,2187.47592133817,2026.8847940481526,3.0,59.0,8805.37831168248,1900.7069892417142,1885.5661698805816,2623.569922290325,10393.388748606034,1845.3361756999482,1558551.9611677988,5021375.610217417,0.3103834650402335,1839629.8085032678,3832153.230497522,0.4800512134699874,1.5466391336528211
003003-1-001001001.tif,17.0,56.5,1574.0,2475.3257066160472,2265.655399731954,2.0,97.0,7725.626677860805,1861.7192364107534,2295.1126022199264,3565.7511127902294,10843.832398073617,2380.3358289089806,1498771.575504996,2397391.086708662,0.625167743308262,2103703.4852262815,1508803.7506678826,1.3942856944086084,2.2302585335422602
003003-10-001001001.tif,1.0,1.5,3392.0,1332.3175225985203,1112.2810274666156,4.0,41.0,4925.14464608442,893.9637244158747,971.0595172645546,1405.0541624118355,5393.674985005259,1014.578964038693,807723.7219578449,3711497.314696336,0.21762745691867233,884562.6975408625,2409271.185020507,0.3671494944365648,1.6870550234558366
003003-10-001001001.tif,2.0,5.0,1402.0,1116.3117858133776,832.5606034421636,3.0,24.0,3719.939933924709,751.5608498852031,711.8978892215587,741.5466264349521,2789.488803144682,366.1694819632947,267835.6752425791,1297233.4484677762,0.20646682797065746,200843.1938264171,797237.6468622081,0.25192387065124405,1.2201663246700667
003003-10-001001001.tif,3.0,14.166666666666666,3620.0,2059.7713610205087,1793.3255754379545,6.0,28.833333333333332,8227.103646807118,1346.470450171347,1404.6404993729036,2189.4620589156098,8580.65738564365,1362.7395385819993,1423288.9308976314,6033083.39599661,0.2359140156826089,1484453.7277163514,3600344.8800135595,0.41230875851836746,1.7477077710934918
003003-10-001001001.tif,4.0,11.5,2678.0,1755.0540958341987,1433.8833760526963,4.0,80.75,5228.040953119148,1109.7903464540912,1499.7390396079518,2206.7065180646505,6839.806580791146,1516.1033830593487,1688657.2278574847,3011377.6407864997,0.5607590376530949,2209257.52559554,1807043.6224745545,1.2225811807299907,2.180225549010807
003003-10-001001001.tif,5.0,14.5,1999.0,1592.6398914917552,1040.8452649129908,4.0,45.75,3985.076890830961,845.7080744125695,1096.6133255336201,1401.3377222548,4463.798648971375,1092.5466215972567,729269.0710220658,2454418.0720699527,0.29712504129625766,816875.1527617616,1375254.8849799451,0.5939809134171327,1.9990940878822991
